repository,file_path,extension,size_bytes,total_thrust,nvidia_apis,thrust_patterns
NVIDIA/cub,test/catch2_test_warp_reduce.cu,.cu,21493,121,4,"{'thrust::': 42, '#include\\s*<thrust/': 3, 'thrust\\s*::\\s*\\w+': 42, 'device_vector\\s*<': 18, 'host_vector\\s*<': 16}"
cupy/cupy,cupy/cuda/cupy_thrust.cu,.cu,18124,134,9,"{'thrust::': 62, '#include\\s*<thrust/': 9, 'thrust\\s*::\\s*\\w+': 62, 'thrust\\.h': 1}"
cupy/cupy,cupyx/signal/_filtering/_filtering.py,.py,27356,128,0,"{'thrust::': 64, 'thrust\\s*::\\s*\\w+': 64}"
cupy/cupy,cupyx/jit/thrust.py,.py,34711,104,8,"{'thrust::': 51, '#include\\s*<thrust/': 2, 'thrust\\s*::\\s*\\w+': 51}"
cupy/cupy,cupy/_core/include/cupy/complex/ccosh.h,.h,7188,46,0,"{'thrust::': 23, 'thrust\\s*::\\s*\\w+': 23}"
cupy/cupy,cupy/cuda/cupy_cub.cu,.cu,40910,42,0,"{'thrust::': 21, 'thrust\\s*::\\s*\\w+': 21}"
cupy/cupy,cupy/_core/include/cupy/complex.cuh,.cuh,2140,40,0,"{'thrust::': 20, 'thrust\\s*::\\s*\\w+': 20}"
cupy/cupy,cupyx/scipy/signal/_upfirdn.py,.py,20805,32,0,"{'thrust::': 16, 'thrust\\s*::\\s*\\w+': 16}"
cupy/cupy,cupyx/scipy/signal/_iir_utils.py,.py,21937,16,0,"{'thrust::': 8, 'thrust\\s*::\\s*\\w+': 8}"
cupy/cupy,cupy/_core/include/cupy/complex/catrig.h,.h,24215,16,0,"{'thrust::': 8, 'thrust\\s*::\\s*\\w+': 8}"
cupy/cupy,cupyx/scipy/special/_complexstuff.py,.py,1465,14,0,"{'thrust::': 7, 'thrust\\s*::\\s*\\w+': 7}"
NVIDIA/MinkowskiEngine,src/coordinate_map_gpu.cu,.cu,101866,209,56,"{'thrust::': 102, '#include\\s*<thrust/': 5, 'thrust\\s*::\\s*\\w+': 102}"
NVIDIA/MinkowskiEngine,src/kernel_map.cuh,.cuh,16299,40,8,"{'thrust::': 16, '#include\\s*<thrust/': 5, 'thrust\\s*::\\s*\\w+': 16, 'host_vector\\s*<': 3}"
NVIDIA/MinkowskiEngine,src/coordinate_map_functors.cuh,.cuh,7492,33,2,"{'thrust::': 15, '#include\\s*<thrust/': 3, 'thrust\\s*::\\s*\\w+': 15}"
NVIDIA/MinkowskiEngine,src/pooling_max_kernel.cu,.cu,16190,25,3,"{'thrust::': 9, '#include\\s*<thrust/': 7, 'thrust\\s*::\\s*\\w+': 9}"
NVIDIA/MinkowskiEngine,src/spmm.cu,.cu,24589,16,5,"{'thrust::': 8, 'thrust\\s*::\\s*\\w+': 8}"
NVIDIA/MinkowskiEngine,src/3rdparty/concurrent_unordered_map.cuh,.cuh,21970,18,2,"{'thrust::': 8, '#include\\s*<thrust/': 2, 'thrust\\s*::\\s*\\w+': 8}"
NVIDIA/MinkowskiEngine,src/storage.cuh,.cuh,6828,18,0,"{'thrust::': 6, 'thrust\\s*::\\s*\\w+': 6, 'device_vector\\s*<': 6}"
NVIDIA/MinkowskiEngine,src/pooling_avg_kernel.cu,.cu,20998,15,2,"{'thrust::': 4, '#include\\s*<thrust/': 7, 'thrust\\s*::\\s*\\w+': 4}"
NVIDIA/MinkowskiEngine,tests/cpp/coordinate_map_gpu_test.cu,.cu,10238,15,0,"{'thrust::': 6, '#include\\s*<thrust/': 3, 'thrust\\s*::\\s*\\w+': 6}"
NVIDIA/MinkowskiEngine,src/broadcast_kernel.cu,.cu,21596,6,1,"{'thrust::': 3, 'thrust\\s*::\\s*\\w+': 3}"
boostorg/compute,perf/perf_thrust_reduce_by_key.cu,.cu,2788,32,1,"{'thrust::': 10, '#include\\s*<thrust/': 5, 'thrust\\s*::\\s*\\w+': 10, 'device_vector\\s*<': 5, 'host_vector\\s*<': 2}"
boostorg/compute,perf/perf_thrust_merge.cu,.cu,1947,27,0,"{'thrust::': 8, '#include\\s*<thrust/': 4, 'thrust\\s*::\\s*\\w+': 8, 'device_vector\\s*<': 3, 'host_vector\\s*<': 4}"
boostorg/compute,perf/perf_thrust_set_difference.cu,.cu,1872,26,0,"{'thrust::': 8, '#include\\s*<thrust/': 4, 'thrust\\s*::\\s*\\w+': 8, 'device_vector\\s*<': 4, 'host_vector\\s*<': 2}"
boostorg/compute,perf/perf_thrust_saxpy.cu,.cu,1900,24,1,"{'thrust::': 8, '#include\\s*<thrust/': 4, 'thrust\\s*::\\s*\\w+': 8, 'device_vector\\s*<': 2, 'host_vector\\s*<': 2}"
boostorg/compute,perf/perf_thrust_rotate.cu,.cu,1618,20,0,"{'thrust::': 7, '#include\\s*<thrust/': 3, 'thrust\\s*::\\s*\\w+': 7, 'device_vector\\s*<': 2, 'host_vector\\s*<': 1}"
boostorg/compute,perf/perf_thrust_inner_product.cu,.cu,1517,17,0,"{'thrust::': 5, '#include\\s*<thrust/': 3, 'thrust\\s*::\\s*\\w+': 5, 'device_vector\\s*<': 2, 'host_vector\\s*<': 2}"
boostorg/compute,perf/perf_thrust_sort.cu,.cu,1350,15,1,"{'thrust::': 4, '#include\\s*<thrust/': 5, 'thrust\\s*::\\s*\\w+': 4, 'device_vector\\s*<': 1, 'host_vector\\s*<': 1}"
boostorg/compute,perf/perf_thrust_reverse_copy.cu,.cu,1382,16,0,"{'thrust::': 4, '#include\\s*<thrust/': 5, 'thrust\\s*::\\s*\\w+': 4, 'device_vector\\s*<': 2, 'host_vector\\s*<': 1}"
boostorg/compute,perf/perf_thrust_partial_sum.cu,.cu,1383,15,1,"{'thrust::': 4, '#include\\s*<thrust/': 5, 'thrust\\s*::\\s*\\w+': 4, 'device_vector\\s*<': 1, 'host_vector\\s*<': 1}"
boostorg/compute,perf/perf_thrust_find.cu,.cu,1857,16,0,"{'thrust::': 5, '#include\\s*<thrust/': 3, 'thrust\\s*::\\s*\\w+': 5, 'device_vector\\s*<': 2, 'host_vector\\s*<': 1}"
OpenNMT/CTranslate2,src/ops/concat_split_slide_gpu.cu,.cu,9597,58,9,"{'thrust::': 27, '#include\\s*<thrust/': 4, 'thrust\\s*::\\s*\\w+': 27}"
OpenNMT/CTranslate2,src/cuda/primitives.cu,.cu,35734,35,7,"{'thrust::': 17, '#include\\s*<thrust/': 1, 'thrust\\s*::\\s*\\w+': 17}"
OpenNMT/CTranslate2,src/cuda/helpers.h,.h,13756,20,7,"{'thrust::': 10, 'thrust\\s*::\\s*\\w+': 10}"
OpenNMT/CTranslate2,src/ops/tile_gpu.cu,.cu,2562,15,2,"{'thrust::': 6, '#include\\s*<thrust/': 3, 'thrust\\s*::\\s*\\w+': 6}"
OpenNMT/CTranslate2,src/ops/gather_gpu.cu,.cu,4279,9,1,"{'thrust::': 3, '#include\\s*<thrust/': 3, 'thrust\\s*::\\s*\\w+': 3}"
OpenNMT/CTranslate2,src/ops/gumbel_max_gpu.cu,.cu,1460,4,1,"{'thrust::': 2, 'thrust\\s*::\\s*\\w+': 2}"
OpenNMT/CTranslate2,src/cuda/utils.h,.h,4241,3,0,"{'thrust::': 1, '#include\\s*<thrust/': 1, 'thrust\\s*::\\s*\\w+': 1}"
OpenNMT/CTranslate2,src/ops/bias_add_gpu.cu,.cu,3617,2,0,"{'thrust::': 1, 'thrust\\s*::\\s*\\w+': 1}"
OpenNMT/CTranslate2,src/ops/dequantize_gpu.cu,.cu,7431,2,0,"{'thrust::': 1, 'thrust\\s*::\\s*\\w+': 1}"
OpenNMT/CTranslate2,CHANGELOG.md,.md,77531,2,0,"{'thrust::': 1, 'thrust\\s*::\\s*\\w+': 1}"
NVIDIA/retinanet-examples,csrc/cuda/decode.cu,.cu,7058,29,5,"{'thrust::': 11, '#include\\s*<thrust/': 7, 'thrust\\s*::\\s*\\w+': 11}"
NVIDIA/retinanet-examples,csrc/cuda/decode_rotate.cu,.cu,7420,29,5,"{'thrust::': 11, '#include\\s*<thrust/': 7, 'thrust\\s*::\\s*\\w+': 11}"
NVIDIA/retinanet-examples,csrc/cuda/nms.cu,.cu,6867,20,1,"{'thrust::': 8, '#include\\s*<thrust/': 4, 'thrust\\s*::\\s*\\w+': 8}"
NVIDIA/retinanet-examples,csrc/cuda/nms_iou.cu,.cu,17452,20,1,"{'thrust::': 8, '#include\\s*<thrust/': 4, 'thrust\\s*::\\s*\\w+': 8}"
NVIDIA/retinanet-examples,csrc/cuda/utils.h,.h,2170,1,0,{'#include\\s*<thrust/': 1}
